anio_academico;anio_ingreso_propuesta;facultad;propuesta_formativa;titulo_araucano_nivel;titulo;alumnos;anios_de_permanencia;cohorte_toty1;cohorte_nd;cohorte_nmy2;cohorte_tot_y2
2001;1997;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;2;4;;;;
2001;2000;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;1;;;;
2001;2000;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;14;1;;;;
2002;1975;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;27;;;;
2002;1980;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;22;;;;
2002;1981;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;21;;;;
2002;1982;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;20;;;;
2002;1983;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;2;19;;;;
2002;1984;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;18;;;;
2002;1985;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;2;17;;;;
2002;1985;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;17;;;;
2002;1986;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;16;;;;
2002;1987;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;2;15;;;;
2002;1988;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;14;;;;
2002;1988;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;14;;;;
2002;1989;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;14;13;;;;
2002;1989;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;13;;;;
2002;1990;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;12;12;;;;
2002;1990;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;12;;;;
2002;1991;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;17;11;;;;
2002;1991;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;5;11;;;;
2002;1992;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;21;10;;;;
2002;1992;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;4;10;;;;
2002;1993;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;55;9;;;;
2002;1993;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;11;9;;;;
2002;1993;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;2;9;;;;
2002;1994;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;72;8;;;;
2002;1994;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;16;8;;;;
2002;1994;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;2;8;;;;
2002;1995;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;105;7;;;;
2002;1995;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;17;7;;;;
2002;1995;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;5;7;;;;
2002;1996;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;110;6;;;;
2002;1996;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;25;6;;;;
2002;1996;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;4;6;;;;
2002;1997;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;97;5;;;;
2002;1997;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;20;5;;;;
2002;1997;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;13;5;;;;
2002;1998;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;6;4;;;;
2002;1998;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;4;4;;;;
2002;1999;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;3;;;;
2002;2000;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;4;2;;;;
2002;2000;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;3;2;;;;
2002;2001;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;1;;;;
2002;2001;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;18;1;;;;
2003;1981;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;22;;;;
2003;1983;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;20;;;;
2003;1983;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;20;;;;
2003;1984;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;19;;;;
2003;1985;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;18;;;;
2003;1986;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;5;17;;;;
2003;1986;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;17;;;;
2003;1987;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;16;;;;
2003;1988;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;15;;;;
2003;1988;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;15;;;;
2003;1988;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;15;;;;
2003;1989;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;2;14;;;;
2003;1989;Facultad de Ciencias Económicas;Contador Público;INTERMEDIO;Bachiller Universitario En Ciencias Sociales;1;14;;;;
2003;1990;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;12;13;;;;
2003;1990;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;13;;;;
2003;1991;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;10;12;;;;
2003;1991;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;12;;;;
2003;1992;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;14;11;;;;
2003;1992;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;7;11;;;;
2003;1992;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;11;;;;
2003;1993;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;33;10;;;;
2003;1993;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;8;10;;;;
2003;1993;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;10;;;;
2003;1993;Facultad de Ciencias Económicas;Licenciatura en Economía;INTERMEDIO;Bachiller Universitario En Ciencias Sociales;1;10;;;;
2003;1994;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;38;9;;;;
2003;1994;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;11;9;;;;
2003;1994;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;9;;;;
2003;1995;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;94;8;;;;
2003;1995;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;11;8;;;;
2003;1995;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;3;8;;;;
2003;1996;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;98;7;;;;
2003;1996;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;28;7;;;;
2003;1996;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;4;7;;;;
2003;1997;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;129;6;;;;
2003;1997;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;32;6;;;;
2003;1997;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;13;6;;;;
2003;1998;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;101;5;;;;
2003;1998;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;19;5;;;;
2003;1998;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;8;5;;;;
2003;1999;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;4;;;;
2003;1999;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;3;4;;;;
2003;1999;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;4;;;;
2003;2000;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;10;3;;;;
2003;2000;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;11;3;;;;
2003;2000;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;3;;;;
2003;2001;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;5;2;;;;
2003;2001;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;2;;;;
2003;2001;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;3;2;;;;
2003;2002;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;1;;;;
2003;2002;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;1;;;;
2003;2002;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;23;1;;;;
2004;1980;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;24;;;;
2004;1981;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;23;;;;
2004;1984;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;20;;;;
2004;1984;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;20;;;;
2004;1984;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;20;;;;
2004;1985;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;19;;;;
2004;1985;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;19;;;;
2004;1986;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;5;18;;;;
2004;1987;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;17;;;;
2004;1987;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;3;17;;;;
2004;1988;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;5;16;;;;
2004;1988;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;16;;;;
2004;1988;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;16;;;;
2004;1990;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;14;;;;
2004;1991;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;7;13;;;;
2004;1991;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;13;;;;
2004;1992;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;12;12;;;;
2004;1992;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;7;12;;;;
2004;1993;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;23;11;;;;
2004;1993;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;11;;;;
2004;1993;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;2;11;;;;
2004;1994;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;31;10;;;;
2004;1994;Facultad de Ciencias Económicas;Contador Público;INTERMEDIO;Bachiller Universitario En Ciencias Sociales;2;10;;;;
2004;1994;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;5;10;;;;
2004;1994;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;10;;;;
2004;1995;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;44;9;;;;
2004;1995;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;7;9;;;;
2004;1995;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;5;9;;;;
2004;1996;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;71;8;;;;
2004;1996;Facultad de Ciencias Económicas;Contador Público;INTERMEDIO;Bachiller Universitario En Ciencias Sociales;1;8;;;;
2004;1996;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;9;8;;;;
2004;1996;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;3;8;;;;
2004;1997;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;90;7;;;;
2004;1997;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;26;7;;;;
2004;1997;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;11;7;;;;
2004;1998;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;104;6;;;;
2004;1998;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;19;6;;;;
2004;1998;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;10;6;;;;
2004;1999;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;54;5;;;;
2004;1999;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;17;5;;;;
2004;1999;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;5;5;;;;
2004;2000;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;21;4;;;;
2004;2000;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;17;4;;;;
2004;2000;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;3;4;;;;
2004;2000;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;4;;;;
2004;2001;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;11;3;;;;
2004;2001;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;4;3;;;;
2004;2001;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;2;3;;;;
2004;2001;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;3;;;;
2004;2002;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;2;;;;
2004;2002;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;2;2;;;;
2004;2002;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;6;2;;;;
2004;2003;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;24;1;;;;
2005;1977;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;28;;;;
2005;1981;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;24;;;;
2005;1982;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;23;;;;
2005;1983;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;22;;;;
2005;1984;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;21;;;;
2005;1984;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;21;;;;
2005;1985;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;20;;;;
2005;1986;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;2;19;;;;
2005;1986;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;19;;;;
2005;1987;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;18;;;;
2005;1988;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;17;;;;
2005;1989;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;7;16;;;;
2005;1990;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;5;15;;;;
2005;1991;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;8;14;;;;
2005;1992;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;10;13;;;;
2005;1992;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;13;;;;
2005;1993;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;15;12;;;;
2005;1993;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;4;12;;;;
2005;1994;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;34;11;;;;
2005;1994;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;2;11;;;;
2005;1995;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;33;10;;;;
2005;1995;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;7;10;;;;
2005;1995;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;10;;;;
2005;1996;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;53;9;;;;
2005;1996;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;9;9;;;;
2005;1997;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;69;8;;;;
2005;1997;Facultad de Ciencias Económicas;Contador Público;INTERMEDIO;Bachiller Universitario En Ciencias Sociales;1;8;;;;
2005;1997;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;6;8;;;;
2005;1997;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;3;8;;;;
2005;1998;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;69;7;;;;
2005;1998;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;13;7;;;;
2005;1998;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;2;7;;;;
2005;1999;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;75;6;;;;
2005;1999;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;16;6;;;;
2005;1999;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;1;6;;;;
2005;2000;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;65;5;;;;
2005;2000;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;28;5;;;;
2005;2000;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;10;5;;;;
2005;2001;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;22;4;;;;
2005;2001;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;12;4;;;;
2005;2001;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;6;4;;;;
2005;2001;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;1;4;;;;
2005;2002;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;11;3;;;;
2005;2002;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;4;3;;;;
2005;2002;Facultad de Ciencias Económicas;Licenciatura en Economía;FINAL;Licenciado En Economía;8;3;;;;
2005;2002;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;2;3;;;;
2005;2003;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;6;2;;;;
2005;2004;Facultad de Ciencias Económicas;Profesorado de Enseñanza Media y Superior en Ciencias Económicas -Ciclo de Complementación Curricular-;FINAL;Profesor De Enseñanza Media Y Superior En Ciencias Económicas;16;1;;;;
2006;1982;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;24;;;;
2006;1983;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;23;;;;
2006;1983;Facultad de Ciencias Económicas;Licenciatura en Administración;FINAL;Licenciado En Administración;1;23;;;;
2006;1985;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;21;;;;
2006;1986;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;1;20;;;;
2006;1987;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;19;;;;
2006;1988;Facultad de Ciencias Económicas;Contador Público;FINAL;Contador/A Público/A;3;18;;;;
